Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,CA-2015-115812,6/9/2015,6/14/2015,Standard Class,BH-11710,Arjun Singh,Consumer,India,Mumbai,Maharashtra,296170,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
13,CA-2018-114412,4/15/2018,4/20/2018,Standard Class,AA-10480,Nikhil Naidu,Consumer,India,Hubballi,Karnataka,674171,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2017-161389,12/5/2017,12/10/2017,Standard Class,IM-15070,Sai Verma,Consumer,India,Bhopal,Madhya Pradesh,246516,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP-14815,Om Pawar,Home Office,India,Ahmedabad,Gujarat,468606,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
16,US-2016-118983,11/22/2016,11/26/2016,Standard Class,HP-14815,Isha Kulkarni,Home Office,India,New Delhi,Delhi,152020,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
17,CA-2015-105893,11/11/2015,11/18/2015,Standard Class,PK-19075,Atharva Pawar,Consumer,India,New Delhi,Delhi,583097,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
18,CA-2015-167164,5/13/2015,5/15/2015,Second Class,AG-10270,Shruti Singh,Consumer,India,Jaipur,Rajasthan,532581,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Sneha Chavan,Consumer,India,New Delhi,Delhi,407437,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
20,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Sai Bhosale,Consumer,India,Coimbatore,Tamil Nadu,116043,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,CA-2015-143336,8/27/2015,9/1/2015,Second Class,ZD-21925,Kavya Joshi,Consumer,India,Jaipur,Rajasthan,620622,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Riya Nair,Corporate,India,Coimbatore,Tamil Nadu,456435,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
23,CA-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Sneha Patil,Corporate,India,Bengaluru,Karnataka,389282,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
24,US-2018-156909,7/16/2018,7/18/2018,Second Class,SF-20065,Aarav Sharma,Consumer,India,Chennai,Tamil Nadu,439666,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,CA-2016-106320,9/25/2016,9/30/2016,Standard Class,EB-13870,Rahul Sharma,Consumer,India,Thiruvananthapuram,Kerala,343368,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
26,CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Ananya Mehta,Consumer,India,Nagpur,Maharashtra,310176,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
27,CA-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Sneha Kulkarni,Consumer,India,Mumbai,Maharashtra,209183,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
28,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Riya Nair,Consumer,India,Siliguri,West Bengal,548527,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
29,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Aditi Kulkarni,Consumer,India,Hubballi,Karnataka,644281,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
30,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Priya Chavan,Consumer,India,Kolkata,West Bengal,456620,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
31,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Shruti Sharma,Consumer,India,Coimbatore,Tamil Nadu,678842,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
32,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Shruti Patel,Consumer,India,Surat,Gujarat,203422,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
33,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Aditya Patel,Consumer,India,Ahmedabad,Gujarat,159250,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
34,US-2016-150630,9/17/2016,9/21/2016,Standard Class,TB-21520,Neha Sharma,Consumer,India,Coimbatore,Tamil Nadu,540000,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
35,CA-2018-107727,10/19/2018,10/23/2018,Second Class,MA-17560,Sakshi Jadhav,Home Office,India,Thiruvananthapuram,Kerala,595937,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
36,CA-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Kavya Gupta,Corporate,India,Coimbatore,Tamil Nadu,457282,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
37,CA-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Yash Deshmukh,Corporate,India,Nagpur,Maharashtra,238952,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
38,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Neha More,Home Office,India,Bengaluru,Karnataka,268404,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
39,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Aditi Deshmukh,Home Office,India,Vadodara,Gujarat,166397,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
40,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Nikhil Kulkarni,Home Office,India,Hubballi,Karnataka,234827,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
41,CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Vihaan Mehta,Home Office,India,New Delhi,Delhi,529381,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
42,CA-2018-120999,9/10/2018,9/15/2018,Standard Class,LC-16930,Ananya Shah,Corporate,India,Thiruvananthapuram,Kerala,115582,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
43,CA-2017-101343,7/17/2017,7/22/2017,Standard Class,RA-19885,Sneha Jadhav,Corporate,India,Hubballi,Karnataka,562321,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
44,CA-2018-139619,9/19/2018,9/23/2018,Standard Class,ES-14080,Rohan Patel,Corporate,India,Jaipur,Rajasthan,117191,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
45,CA-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Rahul Reddy,Corporate,India,New Delhi,Delhi,423026,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
46,CA-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Rohan Nair,Corporate,India,New Delhi,Delhi,308461,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
47,CA-2015-146703,10/20/2015,10/25/2015,Second Class,PO-18865,Sakshi Deshmukh,Consumer,India,Nashik,Maharashtra,305813,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
48,CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Aarav Sharma,Consumer,India,Hubballi,Karnataka,691472,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
49,CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Kavya Kale,Consumer,India,Thiruvananthapuram,Kerala,142229,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
50,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Sneha More,Consumer,India,Jaipur,Rajasthan,423690,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
51,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Neha Shah,Consumer,India,Kochi,Kerala,552934,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
52,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Rahul Singh,Consumer,India,Thiruvananthapuram,Kerala,552410,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
53,CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Atharva Pawar,Consumer,India,Coimbatore,Tamil Nadu,692316,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
54,CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Atharva Patel,Corporate,India,New Delhi,Delhi,474637,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
55,CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Rahul More,Corporate,India,New Delhi,Delhi,362094,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
56,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Aarav Deshmukh,Consumer,India,Warangal,Telangana,664155,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
57,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Pooja Nair,Consumer,India,Udaipur,Rajasthan,240148,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552
58,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Aarav Patil,Consumer,India,Kolkata,West Bengal,444804,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
59,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ananya Chavan,Consumer,India,New Delhi,Delhi,548403,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
60,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Sneha Patil,Consumer,India,Nashik,Maharashtra,440525,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
61,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Vihaan Singh,Consumer,India,New Delhi,Delhi,335235,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
62,CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Rahul Joshi,Consumer,India,Vadodara,Gujarat,322897,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
63,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Yash Bhosale,Consumer,India,Jaipur,Rajasthan,180435,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
64,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Isha More,Consumer,India,Chennai,Tamil Nadu,509311,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
65,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Meera Pawar,Consumer,India,Thiruvananthapuram,Kerala,420034,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
66,CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Vihaan Patil,Consumer,India,Jaipur,Rajasthan,202652,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
67,US-2016-164175,4/30/2016,5/5/2016,Standard Class,PS-18970,Om Mehta,Home Office,India,Kolkata,West Bengal,224563,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
68,CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS-11590,Ananya Nair,Corporate,India,New Delhi,Delhi,647449,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
69,CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS-11590,Yash Joshi,Corporate,India,Chennai,Tamil Nadu,250171,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
70,CA-2017-119823,6/4/2017,6/6/2017,First Class,KD-16270,Meera Deshmukh,Consumer,India,Coimbatore,Tamil Nadu,522423,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
71,CA-2017-106075,9/18/2017,9/23/2017,Standard Class,HM-14980,Vihaan Chavan,Consumer,India,Vadodara,Gujarat,222925,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
72,CA-2018-114440,9/14/2018,9/17/2018,Second Class,TB-21520,Ananya Kulkarni,Consumer,India,Kochi,Kerala,627393,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
73,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Om Jadhav,Consumer,India,Warangal,Telangana,614698,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
74,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Sneha Deshmukh,Consumer,India,Coimbatore,Tamil Nadu,240447,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
75,US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Riya Naidu,Consumer,India,Siliguri,West Bengal,398994,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
76,US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Isha Verma,Corporate,India,Pune,Maharashtra,391568,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
77,US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Vihaan Jadhav,Corporate,India,Pune,Maharashtra,155774,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
78,US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Meera Kulkarni,Corporate,India,Udaipur,Rajasthan,553631,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
79,US-2015-147606,11/26/2015,12/1/2015,Second Class,JE-15745,Sai Patel,Consumer,India,Hyderabad,Telangana,397274,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
80,CA-2017-127208,6/12/2017,6/15/2017,First Class,SC-20770,Kavya Jadhav,Corporate,India,Jaipur,Rajasthan,369475,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
81,CA-2017-127208,6/12/2017,6/15/2017,First Class,SC-20770,Sai Bhosale,Corporate,India,Indore,Madhya Pradesh,173593,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
82,CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN-13690,Rohan Patel,Consumer,India,Kolkata,West Bengal,649874,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
83,CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN-13690,Vivaan More,Consumer,India,Bhopal,Madhya Pradesh,668377,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
84,CA-2016-149734,9/3/2016,9/8/2016,Standard Class,JC-16105,Arjun Pawar,Corporate,India,New Delhi,Delhi,286002,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
85,US-2018-119662,11/13/2018,11/16/2018,First Class,CS-12400,Om Verma,Home Office,India,Bhopal,Madhya Pradesh,637669,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
86,CA-2018-140088,5/28/2018,5/30/2018,Second Class,PO-18865,Atharva Mehta,Consumer,India,Jaipur,Rajasthan,408487,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
87,CA-2018-155558,10/26/2018,11/2/2018,Standard Class,PG-18895,Vivaan Sharma,Consumer,India,Chennai,Tamil Nadu,457640,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
88,CA-2018-155558,10/26/2018,11/2/2018,Standard Class,PG-18895,Om Deshmukh,Consumer,India,Hyderabad,Telangana,162257,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
89,CA-2017-159695,4/5/2017,4/10/2017,Second Class,GM-14455,Vihaan Shah,Home Office,India,Nashik,Maharashtra,639084,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
90,CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Rahul Mehta,Corporate,India,Coimbatore,Tamil Nadu,635661,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
91,CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Aditya Verma,Corporate,India,Warangal,Telangana,181525,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
92,CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Shruti Joshi,Corporate,India,Hyderabad,Telangana,691002,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
93,CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Rohan Sharma,Consumer,India,Warangal,Telangana,518939,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208
94,CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Vivaan Mehta,Consumer,India,Jaipur,Rajasthan,364477,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
95,CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Atharva Sharma,Consumer,India,Kochi,Kerala,454602,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
96,US-2018-109484,11/6/2018,11/12/2018,Standard Class,RB-19705,Trupti Singh,Home Office,India,Chennai,Tamil Nadu,251112,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
97,CA-2018-161018,11/9/2018,11/11/2018,Second Class,PN-18775,Shruti Gupta,Home Office,India,Nashik,Maharashtra,250294,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
98,CA-2018-157833,6/17/2018,6/20/2018,First Class,KD-16345,Pooja Patel,Consumer,India,New Delhi,Delhi,417765,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
99,CA-2017-149223,9/6/2017,9/11/2017,Standard Class,ER-13855,Vihaan Joshi,Corporate,India,Hyderabad,Telangana,351254,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
100,CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Neha Singh,Home Office,India,Chennai,Tamil Nadu,473040,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
101,CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Om Joshi,Home Office,India,Indore,Madhya Pradesh,482953,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
102,CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Aditi Mehta,Home Office,India,New Delhi,Delhi,111160,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
103,CA-2017-129903,12/1/2017,12/4/2017,Second Class,GZ-14470,Priya Naidu,Consumer,India,Surat,Gujarat,560544,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
104,US-2016-156867,11/13/2016,11/17/2016,Standard Class,LC-16870,Aditya Verma,Consumer,India,Hubballi,Karnataka,182341,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
105,US-2016-156867,11/13/2016,11/17/2016,Standard Class,LC-16870,Sai Patil,Consumer,India,Thiruvananthapuram,Kerala,687826,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
106,US-2016-156867,11/13/2016,11/17/2016,Standard Class,LC-16870,Priya More,Consumer,India,Nagpur,Maharashtra,689812,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
